season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Calvin Ridley,WR,ATL,7.396444444,2.873888867,13.46569892,23.32239513,63,93,67.74193548,866,7,2.346825397,2.570694264,-0.223868868,00-0034837,Calvin,Ridley,18,C.Ridley
2019,REG,0,Robert Woods,WR,LAR,7.317022901,3.407958006,8.099280576,23.69092788,90,139,64.74820144,1134,2,6.718333333,5.747487528,0.970845805,00-0030431,Robert,Woods,17,R.Woods
2019,REG,0,Corey Davis,WR,TEN,7.209402985,2.712406234,12.26333333,22.32444141,43,69,62.31884058,601,2,4.902325581,3.415714111,1.486611471,00-0033871,Corey,Davis,84,C.Davis
2019,REG,0,Ted Ginn,WR,NO,6.957321429,2.761783591,16.13928571,24.79452205,30,56,53.57142857,421,2,1.53,1.854187373,-0.324187373,00-0025396,Ted,Ginn,19,T.Ginn
2019,REG,0,Albert Wilson,WR,MIA,6.890192308,3.464217051,5.171129032,6.0233449,43,62,69.35483871,351,1,4.309302326,4.36557158,-0.056269254,00-0030669,Albert,Wilson,15,A.Wilson
2019,REG,0,Jacob Hollister,TE,SEA,6.765909091,3.476792173,5.798644068,7.300553538,41,59,69.49152542,349,3,4.39195122,4.331822162,0.060129058,00-0033387,Jacob,Hollister,48,J.Hollister
2019,REG,0,Steven Sims,WR,WAS,6.73245283,3.158416889,7.349464286,11.60296692,34,56,60.71428571,310,4,5.033823529,4.447409201,0.586414329,00-0034928,Steven,Sims,15,S.Sims
2019,REG,0,Hunter Renfrow,WR,LV,6.692096774,3.456287093,6.582676056,14.78911345,49,71,69.01408451,605,4,6.774897959,4.990275121,1.784622838,00-0034983,Hunter,Renfrow,13,H.Renfrow
2019,REG,0,Chris Godwin,WR,TB,6.635321101,2.812145577,10.35330579,19.69147533,86,121,71.07438017,1333,9,7.075348837,4.756944127,2.318404711,00-0033921,Rod,Godwin,12,C.Godwin
2019,REG,0,Alex Erickson,WR,CIN,6.579333333,2.714040287,8.800128205,14.40645595,43,78,55.12820513,529,0,5.609534884,3.995860074,1.61367481,00-0032543,Alex,Erickson,12,A.Erickson
